Nom DCI,Nom original,Dosage,Forme,Classe thérapeutique,Conservation,Psychotrope,Chaîne froid,À préparer,Haute vigilance,Restreint pédia,mg/kg ref,Tiroir,Lot
Tuberculine Purifiee Amp 10Doses,TUBERCULINE PURIFIEE AMP 10DOSES 100UI/MI,100UI/MI,Ampoule injectable,Vaccin / Diagnostique,Réfrigéré (2–8°C),,✓,,,,,11,LOT-TUBERC-2025-01
Dexamethazone Sol Inj,DEXAMETHAZONE SOL INJ 4MG,4MG,Solution injectable,Corticoïde,Température ambiante contrôlée (< 25°C),,,,,,0.6,12,LOT-DEXAME-2025-01
Dexamethazone Sol Inj,DEXAMETHAZONE SOL INJ 20MG,20MG,Solution injectable,Corticoïde,Température ambiante,,,,,,0.6,13,LOT-DEXAME-2025-01
Hydrocortisone Hemisuccinate Pdr Sol Inj,HYDROCORTISONE HEMISUCCINATE PDR SOL INJ,-,Poudre injectable (à reconstituer),Corticoïde,Température ambiante,,,✓,,,2.0,14,LOT-HYDROC-2025-01
Methylprednisolone Sol Inj,METHYLPREDNISOLONE SOL INJ 20MG,20MG,Solution injectable,Corticoïde,Température ambiante,,,,,,1.0,15,LOT-METHYL-2025-01
Methylprednisolone Pdre Sol Inj,METHYLPREDNISOLONE PDRE SOL INJ 40MG,40MG,Poudre injectable (à reconstituer),Corticoïde,Température ambiante,,,✓,,,1.0,16,LOT-METHYL-2025-01
Prednisone Base Comp,PREDNISONE BASE COMP 5 MG,5 MG,Comprimé,Corticoïde,Température ambiante,,,,,,,17,LOT-PREDNI-2025-01
Omeprazole Inj Iv,OMEPRAZOLE INJ IV 40MG,40MG,Solution injectable,Gastro-entérologie,Température ambiante contrôlée (20–25°C),,,,,,1.0,18,LOT-OMEPRA-2025-01
Phloroglucinol Inj,PHLOROGLUCINOL INJ 10MG/ML,10MG/ML,Solution injectable,Gastro-entérologie,Température ambiante,,,,,,,19,LOT-PHLORO-2025-01
Hbpm Enoxaparine Sodique Inj Sc,HBPM ENOXAPARINE SODIQUE INJ SC 2000UI FL/0.2ML,2000UI,Solution injectable,Anticoagulant,Température ambiante,,,,,,1.0,20,LOT-HBPM-2025-01
Hbpm Enoxaparine Sodique Inj Sc 4,HBPM ENOXAPARINE SODIQUE INJ SC 4 000UI FL/0.4ML,000UI,Solution injectable,Anticoagulant,Température ambiante,,,,,,1.0,21,LOT-HBPM-2025-01
Phytomenadione Sol Inj / Buv,PHYTOMENADIONE SOL INJ / BUV 10 MG,10 MG,Solution injectable,Hémostatique / Vitamine K,Température ambiante,,,,,,0.3,22,LOT-PHYTOM-2025-01
Phytomenadione Sol Inj / Buv,PHYTOMENADIONE SOL INJ / BUV 2MG,2MG,Solution injectable,Hémostatique / Vitamine K,Température ambiante,,,,,,0.3,23,LOT-PHYTOM-2025-01
Albumine Humaine Inj Iv,ALBUMINE HUMAINE INJ IV 20% 100ML,20%,Solution injectable,Albumine humaine,Température ambiante contrôlée (< 25°C),,,,✓,,,24,LOT-ALBUMI-2025-01
Albumine Humaine Inj Iv,ALBUMINE HUMAINE INJ IV 20% 50ML,20%,Solution injectable,Albumine humaine,Température ambiante,,,,✓,,,25,LOT-ALBUMI-2025-01
Gentamicine Inj,GENTAMICINE INJ 80MG,80MG,Solution injectable,Antibiotique — Aminosides,Température ambiante contrôlée (< 25°C),,,,,,5.0,26,LOT-GENTAM-2025-01
Cefazoline Sol Inj Iv,CEFAZOLINE SOL INJ IV 1G,1G,Solution injectable,Antibiotique — Céphalosporines,Température ambiante,,,,,,50.0,27,LOT-CEFAZO-2025-01
Cefotaxime Claforan Pdre Sol Inj Iv,CEFOTAXIME CLAFORAN PDRE SOL INJ IV 1G,1G,Poudre injectable (à reconstituer),Antibiotique — Céphalosporines,Température ambiante,,,✓,,,100.0,28,LOT-CEFOTA-2025-01
Ceftizoxime Amp Inj,CEFTIZOXIME AMP INJ 1G,1G,Ampoule injectable,Antibiotique — Céphalosporines,Température ambiante,,,,,,100.0,29,LOT-CEFTIZ-2025-01
Metronidazole Inj,METRONIDAZOLE INJ 500MG,500MG,Solution injectable,Antibiotique — Nitroimidazolés,Température ambiante,,,,,,30.0,30,LOT-METRON-2025-01
Amoxicilline Inj,AMOXICILLINE INJ 1G,1G,Solution injectable,Antibiotique — Pénicillines,Température ambiante,,,,,,50.0,31,LOT-AMOXIC-2025-01
Ampicilline Inj,AMPICILLINE INJ 1GR,1GR,Autre,Antibiotique — Pénicillines,Température ambiante,,,,,,100.0,32,LOT-AMPICI-2025-01
Amoxi Ac Clavulanique Sol Inj,AMOXI AC CLAVULANIQUE SOL INJ 1G/200MG,1G/200MG,Solution injectable,Antibiotique — Pénicillines,Température ambiante,,,,,,,33,LOT-AMOXI-2025-01
Colimycine Pdre Inj,COLIMYCINE PDRE INJ 1000000UI,1000000UI,Poudre injectable (à reconstituer),Antibiotique — Polymyxines,Température ambiante,,,✓,✓,,,34,LOT-COLIMY-2025-01
Ciprofloxacine,CIPROFLOXACINE 200MG SOL INJ,200MG,Solution injectable,Antibiotique — Fluoroquinolones,Température ambiante,,,,,✓,20.0,35,LOT-CIPROF-2025-01
Ciprofloxacine,CIPROFLOXACINE 400MG SOL INJ,400MG,Solution injectable,Antibiotique — Fluoroquinolones,Température ambiante,,,,,✓,20.0,36,LOT-CIPROF-2025-01
Aciclovir Pdre Inj,ACICLOVIR PDRE INJ 250MG,250MG,Poudre injectable (à reconstituer),Antiviral,Température ambiante,,,✓,,,30.0,37,LOT-ACICLO-2025-01
Rifampicine Isoniazid Cp 75/50,RIFAMPICINE ISONIAZID CP 75/50,-,Comprimé,Antibiotique — Antituberculeux,Température ambiante,,,,,,,38,LOT-RIFAMP-2025-01
Ethambutol Comp,ETHAMBUTOL COMP 400MG,400MG,Comprimé,Antibiotique — Antituberculeux,Température ambiante,,,,,,,39,LOT-ETHAMB-2025-01
Rifamp / Isoniaz / Pyraz Comp 150 / 75 /,RIFAMP / ISONIAZ / PYRAZ COMP 150 / 75 / 400 MG,400 MG,Comprimé,Antibiotique — Antituberculeux,Température ambiante,,,,,,,40,LOT-RIFAMP-2025-01
Imipenem Sol Inj,IMIPENEM SOL INJ 500MG,500MG,Solution injectable,Antibiotique — Carbapénèmes,Température ambiante,,,,✓,,60.0,41,LOT-IMIPEN-2025-01
Ig Humaine Polyvai Sol Inj,IG HUMAINE POLYVAI SOL INJ 5G,5G,Solution injectable,Immunoglobulines IV,Réfrigéré (2–8°C),,✓,,✓,,,42,LOT-IG-2025-01
Ig Humaine Polyvai Sol Inj,IG HUMAINE POLYVAI SOL INJ 10G OU 12G,10G,Solution injectable,Immunoglobulines IV,Température ambiante,,✓,,✓,,,43,LOT-IG-2025-01
Glucose Sol Inj,GLUCOSE SOL INJ 5%,5%,Solution injectable,Soluté de perfusion,Température ambiante (< 30°C),,,,,,,44,LOT-GLUCOS-2025-01
Glucose Sol Inj,GLUCOSE SOL INJ 10%,10%,Solution injectable,Soluté de perfusion,Température ambiante,,,,,,,45,LOT-GLUCOS-2025-01
Sodium Bicarbonate Inj,SODIUM BICARBONATE INJ 1.4%,1.4%,Solution injectable,Soluté de perfusion,Température ambiante,,,,,,,46,LOT-SODIUM-2025-01
Sodium Chlorure Inj 0 .,SODIUM CHLORURE INJ 0 . 9 % 250 ML,9 %,Solution injectable,Soluté de perfusion,Température ambiante (< 30°C),,,,,,,47,LOT-SODIUM-2025-01
Sodium Chlorure Inj 0 .,SODIUM CHLORURE INJ 0 . 9 % 500 ML,9 %,Solution injectable,Soluté de perfusion,Température ambiante,,,,,,,48,LOT-SODIUM-2025-01
Solution De Rehydratation Inj,SOLUTION DE REHYDRATATION INJ,-,Solution injectable,Soluté de perfusion,Température ambiante,,,,,,,49,LOT-SOLUTI-2025-01
Acide Ascorbique Inj,ACIDE ASCORBIQUE INJ 500MG,500MG,Solution injectable,Vitamines / Suppléments,Température ambiante,,,,,,,50,LOT-ACIDE-2025-01
Melange Ternaire D Ac Amines 2L,MELANGE TERNAIRE D AC AMINES 2L,-,Autre,Nutrition parentérale,Température ambiante contrôlée (< 25°C),,,,,,,51,LOT-MELANG-2025-01
Imiglucerase,IMIGLUCERASE 400UI PDRE P/SOL P/PERF IV 20ML,400UI,Poudre injectable (à reconstituer),Enzymothérapie substitutive,Réfrigéré (2–8°C),,✓,✓,✓,,,52,LOT-IMIGLU-2025-01
Elosulfase Alpha,ELOSULFASE ALPHA 1 MG/ML SOL POUR PERF,1 MG/ML,Solution pour perfusion,Enzymothérapie substitutive,Température ambiante,,✓,,✓,,,53,LOT-ELOSUL-2025-01
Phenobarbutal Pdre Sol Inj,PHENOBARBUTAL PDRE SOL INJ 40MG,40MG,Poudre injectable (à reconstituer),Psychotrope / Anticonvulsivant,Température ambiante contrôlée (20–25°C),✓,,✓,,,,54,LOT-PHENOB-2025-01
Diazepam Sol Inj,DIAZEPAM SOL INJ 10MG/2ML,10MG/2ML,Solution injectable,Psychotrope / Anticonvulsivant,Température ambiante,✓,,,,,0.3,55,LOT-DIAZEP-2025-01
Chlorpromazine Sol Inj,CHLORPROMAZINE SOL INJ 25MG,25MG,Solution injectable,Psychotrope / Anticonvulsivant,Température ambiante,✓,,,,✓,,56,LOT-CHLORP-2025-01
Salbutamol Aero,SALBUTAMOL AERO 100µG/BOUFFEE,100ΜG/BOUFFEE,Aérosol,Bronchodilatateur,Température ambiante contrôlée (< 25°C),,,,,,0.15,57,LOT-SALBUT-2025-01
Salbutamol Sol Nebul,SALBUTAMOL SOL NEBUL 5MG/ML,5MG/ML,Autre,Bronchodilatateur,Température ambiante,,,,,,0.15,58,LOT-SALBUT-2025-01
Oipratropium Bromure Sol Inj,"OIPRATROPIUM BROMURE SOL INJ 0,5MG","0,5MG",Solution injectable,Bronchodilatateur,Température ambiante,,,,,,,59,LOT-OIPRAT-2025-01
Deferoxamine Sol Inj,DEFEROXAMINE SOL INJ 500MG,500MG,Solution injectable,Antidote / Toxicologie,Température ambiante contrôlée (< 25°C),,,,,,,60,LOT-DEFERO-2025-01
Savon Pour Lavage Frequent,SAVON POUR LAVAGE FREQUENT,-,Autre,Antiseptiques,Température ambiante,,,,,,,61,LOT-SAVON-2025-01
Desinfectant Des Surfaces Hautes,DESINFECTANT DES SURFACES HAUTES,-,Autre,Antiseptiques,Température ambiante,,,,,,,62,LOT-DESINF-2025-01
Gel Hydre Alcoolique,GEL HYDRE ALCOOLIQUE 500ML,500ML,Autre,Antiseptiques,Température ambiante,,,,,,,63,LOT-GEL-2025-01
